review_id,system_id,quarter,quarter_end,due_date,reviewer_id,accounts_in_scope,privileged_accounts_in_scope,removals_requested,completion_date
UAR-2025Q1-GL01,GL01,2025-Q1,2025-03-31,2025-04-30,E10722,608,16,2,2025-04-16
UAR-2025Q1-LSP,LSP,2025-Q1,2025-03-31,2025-04-30,E10996,658,27,8,2025-04-24
UAR-2025Q1-TMS,TMS,2025-Q1,2025-03-31,2025-04-30,E10004,363,23,4,2025-04-18
UAR-2025Q1-FCR,FCR,2025-Q1,2025-03-31,2025-04-30,E10143,376,23,2,2025-04-20
UAR-2025Q2-GL01,GL01,2025-Q2,2025-06-30,2025-07-30,E10722,623,24,7,2025-07-26
UAR-2025Q2-LSP,LSP,2025-Q2,2025-06-30,2025-07-30,E10996,681,33,5,2025-07-26
UAR-2025Q2-TMS,TMS,2025-Q2,2025-06-30,2025-07-30,E10004,363,31,4,2025-07-18
UAR-2025Q2-FCR,FCR,2025-Q2,2025-06-30,2025-07-30,E10143,375,28,5,2025-07-29
UAR-2025Q3-GL01,GL01,2025-Q3,2025-09-30,2025-10-30,E10722,621,27,4,2025-10-11
UAR-2025Q3-LSP,LSP,2025-Q3,2025-09-30,2025-10-30,E10996,695,33,3,2025-11-11
UAR-2025Q3-TMS,TMS,2025-Q3,2025-09-30,2025-10-30,E10004,373,43,3,2025-10-16
UAR-2025Q3-FCR,FCR,2025-Q3,2025-09-30,2025-10-30,E10143,378,33,4,2025-10-13
UAR-2025Q4-GL01,GL01,2025-Q4,2025-12-31,2026-01-30,E10722,607,27,1,2026-01-19
UAR-2025Q4-LSP,LSP,2025-Q4,2025-12-31,2026-01-30,E10996,690,38,5,2026-01-12
UAR-2025Q4-TMS,TMS,2025-Q4,2025-12-31,2026-01-30,E10004,378,48,5,2026-01-28
UAR-2025Q4-FCR,FCR,2025-Q4,2025-12-31,2026-01-30,E10143,363,33,2,2026-01-19
