change_id,system_id,change_type,description,requested_by,approved_by,approval_date,implementation_date,implemented_by,rollback_plan,status
CHG0030001,GL01,Normal,Update journal entry upload template validation,E11092,E10259,2024-12-26 13:00,2025-01-08 18:30,E10735,yes,Closed - Successful
CHG0030002,TMS,Normal,Modify cash positioning report,E10821,E10751,2024-12-30 10:00,2025-01-08 21:45,E10406,Y,Closed - Successful
CHG0030003,GL01,Standard,Add new cost center hierarchy,E11161,E11109,2024-12-27 14:00,2025-01-08 22:30,E10926,Y,Closed - Successful
CHG0030004,LSP,Emergency,Deploy payment posting hotfix,E10960,E10347,2025-01-10 13:00,2025-01-09 22:00,E10302,Yes,Closed - Successful
CHG0030005,LSP,Normal,Change escrow disbursement interface,E10642,E10259,2024-12-31 14:00,2025-01-10 20:30,E11044,Yes,Closed - Successful
CHG0030006,FCR,Normal,Patch eliminations report,E10990,E10489,2024-12-26 15:00,2025-01-10 20:30,E10468,Yes,Closed - Rolled Back
CHG0030007,TMS,Normal,Add new counterparty limit fields,E10933,E11109,2025-01-10 14:00,2025-01-13 18:30,E10566,Yes,Closed - Successful
CHG0030008,LSP,Normal,Upgrade servicing platform minor release,E10666,E10489,2025-01-03 14:00,2025-01-13 20:00,E10023,Yes,Closed - Successful
CHG0030009,GL01,Normal,Add new cost center hierarchy,E10666,E11202,2024-12-27 15:00,2025-01-13 21:15,E10757,Yes,Closed - Successful
CHG0030010,LSP,Normal,Update delinquency aging buckets,E11230,E11202,2025-01-10 12:00,2025-01-14 18:15,E10600,Yes,Closed - Rolled Back
CHG0030011,LSP,Normal,Adjust interest accrual calculation for ARM loans,E10990,E10259,2024-12-31 10:00,2025-01-14 19:30,E10639,Y,Closed - Successful
CHG0030012,FCR,Normal,Update consolidation mapping for new entity,E10856,E11109,2025-01-14 11:00,2025-01-14 21:45,E10135,Yes,Closed - Successful
CHG0030013,FCR,Standard,Patch eliminations report,E10856,E11109,2025-01-09 12:00,2025-01-15 18:00,E11028,yes,Closed - Successful
CHG0030014,LSP,Standard,Change escrow disbursement interface,E10203,E10489,2025-01-09 09:00,2025-01-15 22:00,E11215,Yes,Closed - Rolled Back
CHG0030015,FCR,Standard,Update consolidation mapping for new entity,E10768,E11202,2025-01-10 11:00,2025-01-15 22:30,E10600,Yes,Closed - Successful
