approval_id,request_ticket,employee_id,system_id,access_level_approved,approver_id,approver_role,approval_date
PA50001,RITM102560,E10639,TMS,Administrator,E11086,Information Security Manager,2013-05-17
PA50002,RITM102379,E10013,TMS,Superuser,E10141,Information Security Manager,2014-10-03
PA50003,RITM102611,E10847,FCR,Database Administrator,E10141,Information Security Manager,2015-07-06
PA50004,RITM102500,E10453,GL01,Database Administrator,E10669,Information Security Manager,2017-02-05
PA50005,RITM102470,E10339,LSP,Administrator,E10141,Information Security Manager,2017-11-14
PA50006,RITM102540,E10616,GL01,Administrator,E11086,Information Security Manager,2017-12-26
PA50007,RITM102480,E10391,FCR,Database Administrator,E10669,Information Security Manager,2018-01-15
PA50008,RITM102398,E10090,LSP,Administrator,E10765,Information Security Manager,2018-02-28
PA50009,RITM102685,E11187,GL01,Superuser,E10669,Information Security Manager,2018-05-12
PA50010,RITM102468,E10337,FCR,Database Administrator,E11086,Information Security Manager,2018-06-08
PA50011,RITM102625,E10926,GL01,Administrator,E10324,Information Security Manager,2018-12-09
PA50012,RITM102434,E10253,GL01,Administrator,E11086,Information Security Manager,2019-04-16
PA50013,RITM102704,E11247,FCR,Superuser,E10765,Information Security Manager,2019-09-01
PA50014,RITM102697,E11210,GL01,Database Administrator,E10765,Information Security Manager,2020-08-23
PA50015,RITM102507,E10461,FCR,Administrator,E10141,Information Security Manager,2021-02-16
PA50016,RITM102464,E10334,TMS,Administrator,E10141,Information Security Manager,2021-04-16
PA50017,RITM102536,E10600,TMS,Superuser,E11086,Information Security Manager,2021-05-10
PA50018,RITM102637,E10976,TMS,Database Administrator,E10141,Information Security Manager,2021-08-18
PA50019,RITM102522,E10537,LSP,Superuser,E10669,Information Security Manager,2021-08-24
PA50020,RITM102592,E10795,LSP,Administrator,E11086,Information Security Manager,2021-11-09
PA50021,RITM102397,E10073,TMS,Administrator,E10765,Information Security Manager,2021-12-08
PA50022,RITM102619,E10899,TMS,Superuser,E10765,Information Security Manager,2021-12-17
PA50023,RITM102571,E10688,TMS,Administrator,E10141,Information Security Manager,2022-02-22
PA50024,RITM102534,E10577,TMS,Superuser,E10324,Information Security Manager,2022-05-29
PA50025,RITM102661,E11074,TMS,Database Administrator,E10669,Information Security Manager,2022-06-23
PA50026,RITM102670,E11103,LSP,Administrator,E10324,Information Security Manager,2022-10-12
PA50027,RITM102604,E10824,FCR,Superuser,E10765,Information Security Manager,2022-11-05
PA50028,RITM102473,E10379,GL01,Administrator,E10324,Information Security Manager,2023-01-16
PA50029,RITM102477,E10384,TMS,Administrator,E11086,Information Security Manager,2023-02-15
PA50030,RITM102706,E11250,TMS,Database Administrator,E11086,Information Security Manager,2023-04-18
PA50031,RITM102566,E10655,TMS,Superuser,E10765,Information Security Manager,2023-05-12
PA50032,RITM102471,E10355,FCR,Superuser,E10141,Information Security Manager,2023-07-23
PA50033,RITM102456,E10302,FCR,Administrator,E10141,Information Security Manager,2023-09-11
PA50034,RITM102509,E10468,FCR,Database Administrator,E10141,Information Security Manager,2023-12-22
PA50035,RITM102601,E10810,TMS,Administrator,E10765,Information Security Manager,2024-01-14
PA50036,RITM102504,E10457,TMS,Administrator,E11086,Information Security Manager,2024-02-14
PA50037,RITM102698,E11215,TMS,Superuser,E10324,Information Security Manager,2024-04-02
PA50038,RITM102545,E10624,GL01,Superuser,E10669,Information Security Manager,2024-04-30
PA50039,RITM102555,E10630,FCR,Database Administrator,E10765,Information Security Manager,2024-05-08
PA50040,RITM102383,E10022,LSP,Superuser,E11086,Information Security Manager,2024-06-06
PA50041,RITM102399,E10092,LSP,Database Administrator,E10141,Information Security Manager,2024-06-15
PA50042,RITM102683,E11180,LSP,Administrator,E10669,Information Security Manager,2024-06-28
PA50043,RITM102378,E10005,FCR,Administrator,E10324,Information Security Manager,2024-07-02
PA50044,RITM102458,E10307,LSP,Database Administrator,E10669,Information Security Manager,2024-07-29
PA50045,RITM102442,E10270,TMS,Administrator,E10765,Information Security Manager,2024-08-30
PA50046,RITM102657,E11039,GL01,Database Administrator,E10669,Information Security Manager,2024-09-07
PA50047,RITM102567,E10663,FCR,Administrator,E10765,Information Security Manager,2024-09-13
PA50048,RITM102676,E11133,GL01,Database Administrator,E10669,Information Security Manager,2024-09-23
PA50049,RITM102615,E10890,LSP,Administrator,E10141,Information Security Manager,2024-11-10
PA50050,RITM102688,E11187,GL01,Administrator,E10765,Information Security Manager,2024-12-31
PA50051,RITM102380,E10013,TMS,Superuser,E10324,Information Security Manager,2024-12-31
PA50052,RITM102607,E10824,LSP,Database Administrator,E10765,Information Security Manager,2025-01-01
PA50053,RITM102526,E10561,GL01,Superuser,E10765,Information Security Manager,2025-01-03
PA50054,RITM102467,E10334,TMS,Database Administrator,E10765,Information Security Manager,2025-01-07
PA50055,RITM102528,E10563,LSP,Database Administrator,E10765,Information Security Manager,2025-01-07
PA50056,RITM102700,E11215,GL01,Superuser,E10765,Information Security Manager,2025-01-07
