employee_id,termination_date,termination_type,hr_notified_date
E10533,2025-01-02,Involuntary,2025-01-02
E10941,2025-01-06,Voluntary,2025-01-07
E10708,2025-01-07,Voluntary,2025-01-08
E10685,2025-01-13,Voluntary,2025-01-13
E10622,2025-01-14,Voluntary,2025-01-23
E10196,2025-01-14,Voluntary,2025-01-14
E11189,2025-01-28,Involuntary,2025-01-28
E10373,2025-01-29,Voluntary,2025-01-29
E10368,2025-01-29,Voluntary,2025-01-29
E10633,2025-01-30,Voluntary,2025-01-30
E10493,2025-01-31,Voluntary,2025-01-31
E10260,2025-02-04,Voluntary,2025-02-13
E10577,2025-02-06,Voluntary,2025-02-06
E10674,2025-02-06,Voluntary,2025-02-18
E11165,2025-02-07,Involuntary,2025-02-07
E10661,2025-02-10,Involuntary,2025-02-10
E10135,2025-02-10,Voluntary,2025-02-10
E10962,2025-02-10,Voluntary,2025-02-10
E10544,2025-02-14,Voluntary,2025-02-14
E11023,2025-02-18,Voluntary,2025-02-18
E11042,2025-02-18,Voluntary,2025-02-19
E10563,2025-02-18,Voluntary,2025-02-19
E11110,2025-02-18,Voluntary,2025-02-18
E10056,2025-02-20,Voluntary,2025-02-20
E10645,2025-02-21,Involuntary,2025-02-24
E10314,2025-02-21,Voluntary,2025-02-21
E11157,2025-02-24,Involuntary,2025-02-24
E10326,2025-02-27,Involuntary,2025-02-28
E10119,2025-02-28,Involuntary,2025-02-28
E10856,2025-03-05,Voluntary,2025-03-05
E10271,2025-03-05,Voluntary,2025-03-05
E10055,2025-03-06,Voluntary,2025-03-06
E10624,2025-03-07,Voluntary,2025-03-07
E10005,2025-03-12,Voluntary,2025-03-12
E10185,2025-03-14,Voluntary,2025-03-14
E10808,2025-03-14,Voluntary,2025-03-14
E10343,2025-03-17,Voluntary,2025-03-17
E10063,2025-03-19,Voluntary,2025-03-19
E11237,2025-03-19,Voluntary,2025-03-31
E11247,2025-03-20,Voluntary,2025-03-20
E10322,2025-03-26,Voluntary,2025-03-26
E10958,2025-03-31,Voluntary,2025-03-31
E10719,2025-04-01,Voluntary,2025-04-01
E10756,2025-04-02,Voluntary,2025-04-02
E10876,2025-04-03,Voluntary,2025-04-03
E10795,2025-04-04,Voluntary,2025-04-07
E10331,2025-04-07,Voluntary,2025-04-07
E10013,2025-04-08,Voluntary,2025-04-08
E10078,2025-04-09,Voluntary,2025-04-09
E10977,2025-04-10,Voluntary,2025-04-11
E11117,2025-04-11,Voluntary,2025-04-11
E10174,2025-04-14,Involuntary,2025-04-24
E10839,2025-04-21,Voluntary,2025-04-22
E10094,2025-04-28,Voluntary,2025-04-29
E11215,2025-04-30,Involuntary,2025-04-30
E11122,2025-05-12,Voluntary,2025-05-12
E10617,2025-05-16,Involuntary,2025-05-19
E10231,2025-05-20,Voluntary,2025-05-21
E10679,2025-05-20,Voluntary,2025-05-20
E10045,2025-05-21,Voluntary,2025-05-21
E10109,2025-05-21,Voluntary,2025-05-21
E10658,2025-05-23,Voluntary,2025-05-23
E10460,2025-05-27,Involuntary,2025-05-28
E10646,2025-05-28,Voluntary,2025-05-28
E11108,2025-06-04,Voluntary,2025-06-04
E11126,2025-06-05,Voluntary,2025-06-06
E11219,2025-06-06,Voluntary,2025-06-09
E10783,2025-06-06,Voluntary,2025-06-09
E10254,2025-06-06,Voluntary,2025-06-06
E10599,2025-06-06,Involuntary,2025-06-06
E10261,2025-06-10,Voluntary,2025-06-10
E10243,2025-06-11,Involuntary,2025-06-12
E10676,2025-06-11,Voluntary,2025-06-11
E10687,2025-06-12,Voluntary,2025-06-12
E10740,2025-06-16,Voluntary,2025-06-16
E10517,2025-06-18,Voluntary,2025-06-18
E10699,2025-06-20,Voluntary,2025-06-23
E10181,2025-06-24,Involuntary,2025-06-24
E10586,2025-06-26,Involuntary,2025-06-27
E10352,2025-07-02,Voluntary,2025-07-02
E10656,2025-07-03,Voluntary,2025-07-03
E11103,2025-07-08,Voluntary,2025-07-08
E10804,2025-07-09,Voluntary,2025-07-09
E10639,2025-07-09,Voluntary,2025-07-09
E10036,2025-07-11,Voluntary,2025-07-11
E10703,2025-07-14,Voluntary,2025-07-15
E11197,2025-07-14,Involuntary,2025-07-14
E10754,2025-07-16,Voluntary,2025-07-16
E10148,2025-07-18,Voluntary,2025-07-18
E10039,2025-07-18,Voluntary,2025-07-18
