grant_id,employee_id,system_id,access_level,request_ticket,date_granted,approver_id,access_end_date
G200001,E10198,LSP,Standard User,RITM100366,2012-01-02,E10706,
G200002,E11111,LSP,Standard User,RITM102107,2012-01-04,E10644,
G200003,E10198,GL01,Standard User,RITM100367,2012-01-05,E10449,2025-01-27
G200004,E10697,GL01,Standard User,RITM101325,2012-01-18,E10304,
G200005,E11129,TMS,Power User,RITM102133,2012-01-18,E10841,
G200006,E10481,GL01,Read Only,RITM100901,2012-01-19,E10100,
G200007,E11129,FCR,Standard User,RITM102132,2012-01-19,E10706,
G200008,E10164,GL01,Standard User,RITM100303,2012-01-25,E10069,2025-06-03
G200009,E10254,GL01,Power User,RITM100474,2012-02-08,E10575,2025-06-13
G200010,E10254,LSP,Power User,RITM100475,2012-02-08,E10764,2025-06-10
G200011,E10877,FCR,Standard User,RITM101675,2012-02-09,E10664,2025-10-03
G200012,E10877,GL01,Standard User,RITM101674,2012-02-10,E10752,2025-10-08
G200013,E10877,TMS,Read Only,RITM101676,2012-02-13,E10371,2025-10-01
G200014,E10640,TMS,Standard User,RITM101199,2012-02-20,E10122,
G200015,E10908,GL01,Standard User,RITM101738,2012-02-20,E11016,
G200016,E10908,LSP,Standard User,RITM101739,2012-02-20,E10968,
G200017,E10763,LSP,Standard User,RITM101447,2012-02-21,E10683,2025-11-20
G200018,E10640,GL01,Read Only,RITM101200,2012-02-22,E10841,
G200019,E10302,GL01,Read Only,RITM100554,2012-02-23,E10371,
G200020,E10302,TMS,Standard User,RITM100555,2012-02-23,E10069,
G200021,E10640,FCR,Standard User,RITM101201,2012-02-23,E10581,
G200022,E11045,LSP,Standard User,RITM101992,2012-02-23,E11138,
G200023,E10763,GL01,Read Only,RITM101448,2012-02-24,E10289,2025-11-14
G200024,E10765,TMS,Standard User,RITM101452,2012-02-24,E10102,
G200025,E10765,FCR,Standard User,RITM101453,2012-02-24,E10683,
G200026,E11045,GL01,Standard User,RITM101990,2012-02-24,E10179,
G200027,E10109,FCR,Standard User,RITM100194,2012-02-27,E10575,2025-05-27
G200028,E10765,GL01,Standard User,RITM101451,2012-02-27,E10171,
G200029,E10261,TMS,Power User,RITM100487,2012-02-28,E10752,2025-06-12
G200030,E11045,FCR,Standard User,RITM101991,2012-02-28,E11111,2025-12-03
G200031,E10109,GL01,Power User,RITM100196,2012-02-29,E10106,2025-05-29
G200032,E10109,TMS,Power User,RITM100195,2012-03-01,E10706,2025-05-27
G200033,E10261,GL01,Standard User,RITM100486,2012-03-01,E11069,2025-06-16
G200034,E10845,LSP,Standard User,RITM101610,2012-03-14,E10716,2025-09-08
G200035,E10845,GL01,Standard User,RITM101611,2012-03-14,E10965,2025-09-12
G200036,E10462,LSP,Standard User,RITM100859,2012-03-20,E10752,
G200037,E10462,GL01,Standard User,RITM100860,2012-03-22,E10664,
G200038,E10362,LSP,Standard User,RITM100659,2012-03-23,E10122,
G200039,E11140,LSP,Read Only,RITM102157,2012-03-26,E10380,
G200040,E11140,FCR,Read Only,RITM102158,2012-03-26,E10197,
G200041,E11090,LSP,Power User,RITM102070,2012-03-27,E10581,
G200042,E11232,FCR,Read Only,RITM102334,2012-03-27,E10371,2025-10-30
G200043,E11232,TMS,Standard User,RITM102335,2012-03-27,E10304,2025-10-28
G200044,E11188,FCR,Standard User,RITM102251,2012-03-28,E10791,
G200045,E11188,GL01,Read Only,RITM102252,2012-03-28,E10934,
G200046,E11188,TMS,Standard User,RITM102250,2012-03-30,E11136,
G200047,E10910,GL01,Read Only,RITM101743,2012-04-02,E10885,
G200048,E10085,GL01,Read Only,RITM100143,2012-04-03,E10644,
G200049,E10948,LSP,Standard User,RITM101820,2012-04-05,E10449,
G200050,E10948,GL01,Read Only,RITM101821,2012-04-06,E10791,
G200051,E10948,FCR,Standard User,RITM101822,2012-04-09,E10146,2025-10-24
G200052,E10477,TMS,Standard User,RITM100894,2012-04-13,E10706,
G200053,E10251,TMS,Standard User,RITM100468,2012-04-17,E10966,
G200054,E10251,LSP,Read Only,RITM100467,2012-04-18,E10289,2025-02-20
G200055,E10251,FCR,Standard User,RITM100469,2012-04-18,E10348,
G200056,E10477,FCR,Power User,RITM100892,2012-04-18,E10323,
G200057,E10477,GL01,Standard User,RITM100893,2012-04-18,E10791,
G200058,E11003,LSP,Standard User,RITM101916,2012-04-24,E10100,
G200059,E10681,FCR,Standard User,RITM101289,2012-04-27,E10831,
G200060,E10681,GL01,Standard User,RITM101290,2012-04-27,E10102,
G200061,E10771,GL01,Read Only,RITM101462,2012-04-30,E10083,
G200062,E10771,LSP,Power User,RITM101463,2012-05-02,E10831,
G200063,E10895,LSP,Standard User,RITM101709,2012-05-02,E11032,
G200064,E10895,GL01,Standard User,RITM101710,2012-05-03,E10171,
G200065,E11100,FCR,Standard User,RITM102085,2012-05-18,E10664,
G200066,E11100,TMS,Read Only,RITM102086,2012-05-21,E10100,
G200067,E11100,GL01,Read Only,RITM102087,2012-05-22,E10197,
G200068,E10634,GL01,Power User,RITM101187,2012-05-25,E11069,
G200069,E10634,LSP,Standard User,RITM101188,2012-05-29,E10107,
G200070,E11144,LSP,Power User,RITM102165,2012-06-05,E10100,
G200071,E10998,FCR,Read Only,RITM101906,2012-06-06,E11043,
G200072,E11144,GL01,Standard User,RITM102166,2012-06-06,E11032,
G200073,E10812,TMS,Read Only,RITM101545,2012-06-11,E10791,
G200074,E10812,GL01,Power User,RITM101547,2012-06-12,E10171,
G200075,E10659,GL01,Read Only,RITM101243,2012-06-13,E11043,2025-07-16
G200076,E10812,FCR,Standard User,RITM101546,2012-06-14,E10682,
G200077,E10398,TMS,Standard User,RITM100723,2012-06-15,E10650,
G200078,E10447,LSP,Read Only,RITM100829,2012-06-15,E10882,
G200079,E10659,TMS,Standard User,RITM101244,2012-06-15,E10831,
G200080,E10659,FCR,Power User,RITM101245,2012-06-15,E10171,
G200081,E10774,TMS,Standard User,RITM101471,2012-06-15,E10187,
G200082,E10398,FCR,Standard User,RITM100725,2012-06-19,E11111,
G200083,E10804,GL01,Standard User,RITM101530,2012-06-19,E10885,2025-07-14
G200084,E10398,GL01,Read Only,RITM100724,2012-06-20,E10246,
G200085,E10804,FCR,Read Only,RITM101531,2012-06-21,E10034,2025-07-11
G200086,E10804,LSP,Power User,RITM101532,2012-06-22,E10102,2025-07-16
G200087,E10872,GL01,Power User,RITM101660,2012-06-25,E11138,
G200088,E10872,LSP,Power User,RITM101661,2012-06-26,E10348,
G200089,E11041,LSP,Standard User,RITM101983,2012-06-29,E10762,
G200090,E10244,LSP,Standard User,RITM100457,2012-07-04,E10357,
G200091,E10177,TMS,Standard User,RITM100327,2012-07-05,E10187,2025-11-19
G200092,E10079,GL01,Read Only,RITM100131,2012-07-12,E10122,2025-09-29
G200093,E10436,GL01,Standard User,RITM100806,2012-07-13,E10981,
G200094,E10436,LSP,Standard User,RITM100807,2012-07-17,E10882,
G200095,E10888,LSP,Standard User,RITM101699,2012-07-25,E10197,
G200096,E10605,GL01,Read Only,RITM101137,2012-08-02,E10304,
G200097,E10354,TMS,Standard User,RITM100643,2012-08-03,E10044,
G200098,E10605,FCR,Read Only,RITM101136,2012-08-06,E10581,
G200099,E10605,TMS,Standard User,RITM101138,2012-08-07,E10831,
G200100,E10354,GL01,Read Only,RITM100642,2012-08-08,E10841,
G200101,E11001,LSP,Power User,RITM101913,2012-08-13,E11136,
G200102,E10424,TMS,Read Only,RITM100779,2012-08-17,E10648,
G200103,E10762,LSP,Read Only,RITM101445,2012-08-17,E10648,
G200104,E10424,GL01,Standard User,RITM100778,2012-08-20,E11138,
G200105,E10262,LSP,Read Only,RITM100488,2012-08-21,E10371,
G200106,E10703,LSP,Standard User,RITM101332,2012-08-22,E10885,2025-07-15
G200107,E10703,GL01,Read Only,RITM101333,2012-08-24,E11016,2025-07-18
G200108,E10946,TMS,Standard User,RITM101817,2012-08-24,E11003,
G200109,E10510,LSP,Read Only,RITM100957,2012-09-04,E10100,
G200110,E10901,GL01,Standard User,RITM101725,2012-09-07,E10034,
G200111,E10982,LSP,Power User,RITM101878,2012-09-10,E10762,
G200112,E10710,LSP,Standard User,RITM101344,2012-09-14,E11069,
G200113,E11082,LSP,Power User,RITM102055,2012-09-17,E10581,
G200114,E10988,GL01,Standard User,RITM101885,2012-09-19,E10773,
G200115,E10069,LSP,Standard User,RITM100117,2012-09-20,E10706,
G200116,E10839,LSP,Power User,RITM101603,2012-09-21,E10885,2025-04-23
G200117,E10841,TMS,Standard User,RITM101605,2012-09-24,E10752,
G200118,E10841,GL01,Standard User,RITM101606,2012-09-24,E10106,
G200119,E10988,LSP,Standard User,RITM101886,2012-09-24,E10762,
G200120,E10126,TMS,Standard User,RITM100230,2012-10-02,E10102,
G200121,E10784,LSP,Standard User,RITM101494,2012-10-03,E11231,
G200122,E10784,GL01,Read Only,RITM101493,2012-10-04,E10882,
G200123,E10126,LSP,Read Only,RITM100231,2012-10-05,E11069,
G200124,E10076,TMS,Standard User,RITM100126,2012-10-11,E10200,
G200125,E10086,GL01,Standard User,RITM100146,2012-10-12,E10882,
G200126,E10086,TMS,Standard User,RITM100145,2012-10-15,E10107,
G200127,E10584,LSP,Standard User,RITM101096,2012-10-15,E10044,
G200128,E10086,FCR,Standard User,RITM100144,2012-10-16,E10587,
G200129,E10524,TMS,Read Only,RITM100982,2012-10-22,E10357,2025-10-17
G200130,E10027,GL01,Standard User,RITM100042,2012-10-23,E10146,
G200131,E10524,FCR,Standard User,RITM100983,2012-10-24,E10752,2025-10-15
G200132,E10027,FCR,Standard User,RITM100043,2012-10-25,E11069,
G200133,E10524,GL01,Standard User,RITM100981,2012-10-25,E10885,2025-10-13
G200134,E10057,LSP,Standard User,RITM100096,2012-11-07,E10146,
G200135,E11124,LSP,Power User,RITM102126,2012-11-08,E10745,2025-10-03
G200136,E10916,FCR,Standard User,RITM101757,2012-11-13,E10221,
G200137,E10916,GL01,Read Only,RITM101758,2012-11-13,E10122,2025-03-19
G200138,E10916,LSP,Read Only,RITM101756,2012-11-14,E10682,
G200139,E10663,LSP,Read Only,RITM101254,2012-11-16,E10197,2025-09-04
G200140,E10179,LSP,Standard User,RITM100330,2012-11-19,E10106,
G200141,E10179,GL01,Power User,RITM100329,2012-11-20,E10069,
G200142,E10179,FCR,Standard User,RITM100331,2012-11-20,E10587,
G200143,E10663,FCR,Standard User,RITM101253,2012-11-20,E10664,
G200144,E10145,GL01,Standard User,RITM100264,2012-11-21,E10146,
G200145,E10145,TMS,Read Only,RITM100265,2012-11-21,E10706,
G200146,E10718,LSP,Power User,RITM101358,2012-11-21,E10965,
G200147,E10145,FCR,Standard User,RITM100266,2012-11-22,E10380,
G200148,E10334,TMS,Power User,RITM100610,2012-11-23,E11043,
G200149,E10334,LSP,Standard User,RITM100611,2012-11-23,E10882,
G200150,E10443,LSP,Read Only,RITM100819,2012-11-28,E10664,
G200151,E10560,LSP,Standard User,RITM101048,2012-12-06,E10968,
G200152,E10639,LSP,Power User,RITM101198,2012-12-06,E10044,2025-07-09
G200153,E10043,TMS,Standard User,RITM100074,2012-12-20,E10716,
G200154,E10043,GL01,Standard User,RITM100075,2012-12-20,E10200,
G200155,E11128,TMS,Power User,RITM102131,2012-12-20,E10664,
G200156,E10319,TMS,Standard User,RITM100584,2012-12-21,E10841,
G200157,E10950,FCR,Read Only,RITM101826,2012-12-21,E10289,2025-01-29
G200158,E10950,TMS,Read Only,RITM101827,2012-12-21,E10323,
G200159,E10950,GL01,Standard User,RITM101828,2012-12-21,E10587,
G200160,E10978,TMS,Power User,RITM101872,2012-12-27,E10603,
G200161,E10745,GL01,Power User,RITM101414,2013-01-02,E10716,
G200162,E11072,LSP,Standard User,RITM102034,2013-01-02,E10773,
G200163,E10745,FCR,Power User,RITM101415,2013-01-03,E11138,
G200164,E11219,TMS,Standard User,RITM102306,2013-01-04,E10683,2025-06-13
G200165,E10650,LSP,Standard User,RITM101222,2013-01-08,E10542,
G200166,E10650,GL01,Standard User,RITM101221,2013-01-09,E10348,
G200167,E11038,FCR,Standard User,RITM101977,2013-01-14,E10966,
G200168,E10163,TMS,Power User,RITM100300,2013-01-28,E10981,
G200169,E10163,LSP,Standard User,RITM100302,2013-01-28,E10587,
G200170,E10163,FCR,Standard User,RITM100301,2013-01-29,E10100,
G200171,E10444,TMS,Power User,RITM100820,2013-02-01,E10357,2025-01-15
G200172,E10444,FCR,Standard User,RITM100822,2013-02-01,E10966,
G200173,E10150,TMS,Read Only,RITM100276,2013-02-04,E10221,
G200174,E10444,GL01,Standard User,RITM100821,2013-02-04,E10200,
G200175,E11131,GL01,Standard User,RITM102138,2013-02-14,E10289,
G200176,E11131,TMS,Standard User,RITM102137,2013-02-15,E11003,
G200177,E10132,TMS,Standard User,RITM100241,2013-02-20,E11016,
G200178,E10132,FCR,Read Only,RITM100242,2013-02-20,E10197,
G200179,E10132,LSP,Read Only,RITM100243,2013-02-21,E11032,
G200180,E10966,LSP,Read Only,RITM101854,2013-02-21,E10044,
G200181,E11083,LSP,Power User,RITM102057,2013-03-01,E10357,
G200182,E10579,GL01,Standard User,RITM101088,2013-03-04,E10885,
G200183,E10832,LSP,Power User,RITM101592,2013-03-07,E10246,
G200184,E10289,TMS,Standard User,RITM100533,2013-03-08,E10885,
G200185,E10289,GL01,Standard User,RITM100534,2013-03-08,E10650,
G200186,E10832,GL01,Power User,RITM101591,2013-03-08,E10603,
G200187,E10412,LSP,Power User,RITM100756,2013-03-11,E11069,
G200188,E10559,TMS,Standard User,RITM101047,2013-03-12,E10146,
G200189,E10324,FCR,Standard User,RITM100592,2013-03-13,E10581,
G200190,E10247,LSP,Standard User,RITM100461,2013-03-22,E10106,
G200191,E10356,GL01,Standard User,RITM100645,2013-03-25,E10762,
G200192,E10356,LSP,Standard User,RITM100647,2013-03-27,E10867,
G200193,E10356,FCR,Standard User,RITM100646,2013-03-28,E10745,
G200194,E10534,FCR,Standard User,RITM100999,2013-04-01,E11136,
G200195,E10575,GL01,Standard User,RITM101077,2013-04-08,E10791,
G200196,E10130,LSP,Power User,RITM100239,2013-04-10,E10357,
G200197,E10968,LSP,Read Only,RITM101857,2013-04-10,E11032,
G200198,E10575,LSP,Read Only,RITM101078,2013-04-11,E10841,
G200199,E10726,FCR,Standard User,RITM101372,2013-04-24,E11223,
G200200,E10927,LSP,Standard User,RITM101783,2013-04-24,E10083,
G200201,E10726,GL01,Read Only,RITM101373,2013-04-25,E10017,
G200202,E10726,LSP,Power User,RITM101374,2013-04-25,E10966,
G200203,E10552,LSP,Standard User,RITM101033,2013-04-26,E10752,2025-08-07
G200204,E10552,GL01,Standard User,RITM101034,2013-04-29,E10745,
G200205,E11031,LSP,Power User,RITM101966,2013-04-29,E10289,
G200206,E10686,FCR,Power User,RITM101301,2013-05-09,E10885,
G200207,E10686,GL01,Standard User,RITM101300,2013-05-13,E10966,
G200208,E10686,TMS,Standard User,RITM101302,2013-05-13,E10934,
G200209,E11199,GL01,Standard User,RITM102271,2013-05-13,E10371,
G200210,E11199,TMS,Standard User,RITM102272,2013-05-13,E10650,
G200211,E11097,LSP,Standard User,RITM102080,2013-05-15,E10146,
G200212,E10127,GL01,Power User,RITM100234,2013-05-16,E10831,
G200213,E10127,FCR,Standard User,RITM100233,2013-05-17,E10304,
G200214,E10393,GL01,Power User,RITM100711,2013-05-17,E10773,
G200215,E10639,TMS,Administrator,RITM102560,2013-05-20,E11086,2025-07-15
G200216,E10562,GL01,Read Only,RITM101053,2013-05-21,E10882,
G200217,E10873,LSP,Read Only,RITM101665,2013-05-21,E10664,2025-08-06
G200218,E10268,LSP,Power User,RITM100498,2013-05-22,E10304,
G200219,E10873,FCR,Read Only,RITM101664,2013-05-22,E10791,
G200220,E10183,LSP,Standard User,RITM100338,2013-05-23,E10034,
G200221,E10873,GL01,Standard User,RITM101663,2013-05-23,E10648,
G200222,E10093,LSP,Standard User,RITM100164,2013-06-10,E10981,
G200223,E10117,LSP,Standard User,RITM100213,2013-06-11,E10083,
G200224,E10379,FCR,Standard User,RITM100691,2013-06-24,E10100,
G200225,E10453,GL01,Power User,RITM100843,2013-06-24,E10380,2025-12-18
G200226,E10608,LSP,Standard User,RITM101143,2013-06-24,E11111,2025-10-22
G200227,E10453,LSP,Power User,RITM100841,2013-06-25,E10773,2025-12-19
G200228,E10453,TMS,Standard User,RITM100842,2013-06-25,E10069,2025-12-18
G200229,E10379,LSP,Standard User,RITM100692,2013-06-26,E10752,
G200230,E10421,LSP,Standard User,RITM100772,2013-07-01,E10100,
G200231,E10715,LSP,Read Only,RITM101353,2013-07-01,E11003,
G200232,E10286,FCR,Power User,RITM100527,2013-07-15,E11003,2025-10-28
G200233,E10286,GL01,Read Only,RITM100528,2013-07-16,E11136,
G200234,E10286,LSP,Read Only,RITM100529,2013-07-18,E10644,
G200235,E10831,GL01,Read Only,RITM101590,2013-07-18,E10885,
G200236,E10597,LSP,Read Only,RITM101120,2013-07-23,E10107,
G200237,E10259,FCR,Standard User,RITM100482,2013-07-26,E11032,
G200238,E10458,LSP,Standard User,RITM100850,2013-07-26,E10449,
G200239,E10259,LSP,Standard User,RITM100480,2013-07-29,E10968,
G200240,E10259,TMS,Power User,RITM100481,2013-07-31,E10102,
G200241,E10504,GL01,Read Only,RITM100948,2013-08-01,E10867,
G200242,E10504,TMS,Standard User,RITM100949,2013-08-02,E10122,2025-01-30
G200243,E10964,LSP,Standard User,RITM101850,2013-08-05,E10648,
G200244,E10049,FCR,Standard User,RITM100083,2013-08-13,E10575,
G200245,E10811,GL01,Standard User,RITM101543,2013-08-30,E10682,
G200246,E11010,LSP,Read Only,RITM101931,2013-08-30,E10648,
G200247,E10683,GL01,Read Only,RITM101294,2013-09-02,E10380,
G200248,E10858,GL01,Power User,RITM101634,2013-09-02,E10752,
G200249,E10743,TMS,Standard User,RITM101411,2013-09-04,E10752,2025-12-09
G200250,E10801,GL01,Read Only,RITM101525,2013-09-04,E10083,
G200251,E10083,TMS,Standard User,RITM100139,2013-09-05,E10317,
G200252,E10083,GL01,Read Only,RITM100140,2013-09-05,E10059,
G200253,E10683,TMS,Standard User,RITM101295,2013-09-05,E10762,
G200254,E10083,FCR,Standard User,RITM100138,2013-09-09,E10841,
G200255,E10743,FCR,Standard User,RITM101410,2013-09-09,E11136,2025-12-04
G200256,E10569,GL01,Standard User,RITM101067,2013-09-17,E10752,
G200257,E10676,FCR,Standard User,RITM101280,2013-09-18,E10122,2025-06-13
G200258,E10676,TMS,Standard User,RITM101282,2013-09-18,E10542,2025-06-13
G200259,E10569,TMS,Standard User,RITM101065,2013-09-19,E10069,
G200260,E10569,FCR,Read Only,RITM101066,2013-09-20,E10034,
G200261,E10676,GL01,Standard User,RITM101281,2013-09-23,E10764,2025-06-16
G200262,E10778,GL01,Read Only,RITM101480,2013-09-26,E10221,
G200263,E10688,FCR,Standard User,RITM101309,2013-09-27,E10246,
G200264,E10688,LSP,Standard User,RITM101310,2013-09-27,E10146,
G200265,E10688,TMS,Power User,RITM101308,2013-09-30,E11016,
G200266,E10174,LSP,Standard User,RITM100319,2013-10-14,E10171,2025-04-15
G200267,E10174,FCR,Read Only,RITM100320,2013-10-14,E10706,2025-04-22
G200268,E10034,FCR,Standard User,RITM100055,2013-10-16,E10648,
G200269,E10664,GL01,Read Only,RITM101256,2013-10-16,E10171,
G200270,E10588,LSP,Standard User,RITM101100,2013-10-24,E10304,
G200271,E10589,LSP,Standard User,RITM101101,2013-10-24,E10179,
G200272,E10589,FCR,Standard User,RITM101102,2013-10-24,E10966,
G200273,E10589,GL01,Standard User,RITM101103,2013-10-24,E11223,
G200274,E10207,LSP,Standard User,RITM100383,2013-10-25,E10791,
