control_id,exception_id,source_file,source_record_id,employee_id,system_id,reference_id,event_date,required_by,actual_date,days_late,exception_type,status,breach_date,detail,risk_id,severity_score,exception_age_days,priority_score,priority_tier
ITGC-CM-02,EX-CM-02-001,change_log.csv,CHG0030034,E10269,GL01,Normal,2025-01-28,2025-01-28,,,No documented rollback plan,Closed,2025-01-28,Normal change 'Upgrade GL reporting module' rollback_plan='No',R-05,6,367,18.0,Low
ITGC-CM-02,EX-CM-02-002,change_log.csv,CHG0030097,E10932,LSP,Normal,2025-02-28,2025-02-28,,,No documented rollback plan,Closed,2025-02-28,Normal change 'Modify loan boarding field mapping' rollback_plan='No',R-05,6,336,17.0,Low
ITGC-CM-02,EX-CM-02-003,change_log.csv,CHG0030166,E11240,LSP,Normal,2025-04-03,2025-04-03,,,No documented rollback plan,Closed,2025-04-03,Normal change 'Deploy payment posting hotfix' rollback_plan='N',R-05,6,302,15.9,Low
ITGC-CM-02,EX-CM-02-004,change_log.csv,CHG0030170,E10821,GL01,Normal,2025-04-07,2025-04-07,,,No documented rollback plan,Closed,2025-04-07,Normal change 'Fix FX revaluation rounding' rollback_plan='No',R-05,6,298,15.8,Low
ITGC-CM-02,EX-CM-02-005,change_log.csv,CHG0030240,E10269,LSP,Normal,2025-05-15,2025-05-15,,,No documented rollback plan,Closed,2025-05-15,Normal change 'Adjust interest accrual calculation for ARM loans' rollback_plan='N',R-05,6,260,14.5,Low
ITGC-CM-02,EX-CM-02-006,change_log.csv,CHG0030251,E11161,GL01,Standard,2025-05-23,2025-05-23,,,No documented rollback plan,Closed,2025-05-23,Standard change 'Add new cost center hierarchy' rollback_plan='No',R-05,6,252,14.3,Low
ITGC-CM-02,EX-CM-02-007,change_log.csv,CHG0030269,E10163,FCR,Normal,2025-06-04,2025-06-04,,,No documented rollback plan,Closed,2025-06-04,Normal change 'Update XBRL tagging template' rollback_plan='N',R-05,6,240,13.9,Low
ITGC-CM-02,EX-CM-02-008,change_log.csv,CHG0030349,E10029,GL01,Standard,2025-07-25,2025-07-25,,,No documented rollback plan,Closed,2025-07-25,Standard change 'Modify intercompany elimination rule' rollback_plan='No',R-05,6,189,12.2,Low
ITGC-CM-02,EX-CM-02-009,change_log.csv,CHG0030353,E10821,LSP,Standard,2025-07-29,2025-07-29,,,No documented rollback plan,Closed,2025-07-29,Standard change 'Adjust interest accrual calculation for ARM loans' rollback_plan='N',R-05,6,185,12.1,Low
ITGC-CM-02,EX-CM-02-010,change_log.csv,CHG0030370,E11161,LSP,Standard,2025-08-05,2025-08-05,,,No documented rollback plan,Closed,2025-08-05,Standard change 'Deploy payment posting hotfix' rollback_plan='No',R-05,6,178,11.9,Low
