control_id,exception_id,source_file,source_record_id,employee_id,system_id,reference_id,event_date,required_by,actual_date,days_late,exception_type,status,breach_date,detail,risk_id,severity_score,exception_age_days,priority_score,priority_tier
ITGC-UA-03,EX-UA-03-001,termination_log.csv,E10622,E10622,All,,2025-01-14,2025-01-15,2025-01-23,5.0,Late HR separation notice,Closed,2025-01-16,Voluntary termination 2025-01-14; IT notified 2025-01-23 (6 BD),R-02,15,379,45.0,High
ITGC-UA-03,EX-UA-03-002,termination_log.csv,E10260,E10260,All,,2025-02-04,2025-02-05,2025-02-13,6.0,Late HR separation notice,Closed,2025-02-06,Voluntary termination 2025-02-04; IT notified 2025-02-13 (7 BD),R-02,15,358,44.4,High
ITGC-UA-03,EX-UA-03-003,termination_log.csv,E10674,E10674,All,,2025-02-06,2025-02-07,2025-02-18,6.0,Late HR separation notice,Closed,2025-02-08,Voluntary termination 2025-02-06; IT notified 2025-02-18 (7 BD),R-02,15,356,44.3,High
ITGC-UA-03,EX-UA-03-004,termination_log.csv,E11237,E11237,All,,2025-03-19,2025-03-20,2025-03-31,7.0,Late HR separation notice,Closed,2025-03-21,Voluntary termination 2025-03-19; IT notified 2025-03-31 (8 BD),R-02,15,315,40.9,High
ITGC-UA-03,EX-UA-03-005,termination_log.csv,E10174,E10174,All,,2025-04-14,2025-04-15,2025-04-24,6.0,Late HR separation notice,Closed,2025-04-16,Involuntary termination 2025-04-14; IT notified 2025-04-24 (7 BD),R-02,15,289,38.8,High
ITGC-UA-03,EX-UA-03-006,termination_log.csv,E10224,E10224,All,,2025-07-25,2025-07-28,2025-07-31,3.0,Late HR separation notice,Closed,2025-07-29,Voluntary termination 2025-07-25; IT notified 2025-07-31 (4 BD),R-02,15,185,30.2,Medium
ITGC-UA-03,EX-UA-03-007,termination_log.csv,E10592,E10592,All,,2025-07-29,2025-07-30,2025-08-06,5.0,Late HR separation notice,Closed,2025-07-31,Voluntary termination 2025-07-29; IT notified 2025-08-06 (6 BD),R-02,15,183,30.0,Medium
ITGC-UA-03,EX-UA-03-008,termination_log.csv,E10079,E10079,All,,2025-08-29,2025-09-02,2025-09-04,2.0,Late HR separation notice,Closed,2025-09-03,Voluntary termination 2025-08-29; IT notified 2025-09-04 (3 BD),R-02,15,149,27.2,Medium
ITGC-UA-03,EX-UA-03-009,termination_log.csv,E11203,E11203,All,,2025-10-10,2025-10-13,2025-10-15,2.0,Late HR separation notice,Closed,2025-10-14,Voluntary termination 2025-10-10; IT notified 2025-10-15 (3 BD),R-02,15,108,23.9,Medium
ITGC-UA-03,EX-UA-03-010,termination_log.csv,E10684,E10684,All,,2025-10-17,2025-10-20,2025-10-30,8.0,Late HR separation notice,Closed,2025-10-21,Voluntary termination 2025-10-17; IT notified 2025-10-30 (9 BD),R-02,15,101,23.3,Medium
ITGC-UA-03,EX-UA-03-011,termination_log.csv,E10987,E10987,All,,2025-11-06,2025-11-07,2025-11-12,3.0,Late HR separation notice,Closed,2025-11-08,Involuntary termination 2025-11-06; IT notified 2025-11-12 (4 BD),R-02,15,83,21.8,Medium
