control_id,exception_id,source_file,source_record_id,employee_id,system_id,reference_id,event_date,required_by,actual_date,days_late,exception_type,status,breach_date,detail,risk_id,severity_score,exception_age_days,priority_score,priority_tier
ITGC-UA-01,EX-UA-01-001,user_access_log.csv,G201926,E10206,LSP,RITM100382,2025-01-02,2025-01-02,,,No approver recorded on grant,Closed,2025-01-02,Power User access on LSP provisioned 2025-01-02 without approval evidence,R-01,12,393,36.0,High
ITGC-UA-01,EX-UA-01-002,user_access_log.csv,G201938,E11157,LSP,RITM102190,2025-01-06,2025-01-06,,,No approver recorded on grant,Closed,2025-01-06,Read Only access on LSP provisioned 2025-01-06 without approval evidence,R-01,12,389,36.0,High
ITGC-UA-01,EX-UA-01-003,user_access_log.csv,G201943,E10310,FCR,RITM100566,2025-01-08,2025-01-08,,,No approver recorded on grant,Closed,2025-01-08,Power User access on FCR provisioned 2025-01-08 without approval evidence,R-01,12,387,36.0,High
ITGC-UA-01,EX-UA-01-004,user_access_log.csv,G201968,E11035,TMS,RITM101974,2025-01-13,2025-01-13,,,No approver recorded on grant,Closed,2025-01-13,Standard User access on TMS provisioned 2025-01-13 without approval evidence,R-01,12,382,36.0,High
ITGC-UA-01,EX-UA-01-005,user_access_log.csv,G202012,E10364,GL01,RITM100665,2025-01-30,2025-01-30,,,No approver recorded on grant,Closed,2025-01-30,Read Only access on GL01 provisioned 2025-01-30 without approval evidence,R-01,12,365,36.0,High
ITGC-UA-01,EX-UA-01-006,user_access_log.csv,G202025,E11089,LSP,RITM102068,2025-02-03,2025-02-03,,,No approver recorded on grant,Closed,2025-02-03,Standard User access on LSP provisioned 2025-02-03 without approval evidence,R-01,12,361,35.7,High
ITGC-UA-01,EX-UA-01-007,user_access_log.csv,G202080,E10592,GL01,RITM101109,2025-02-24,2025-02-24,,,No approver recorded on grant,Closed,2025-02-24,Standard User access on GL01 provisioned 2025-02-24 without approval evidence,R-01,12,340,34.4,Medium
ITGC-UA-01,EX-UA-01-008,user_access_log.csv,G202121,E10046,FCR,RITM100079,2025-03-13,2025-03-13,,,No approver recorded on grant,Closed,2025-03-13,Standard User access on FCR provisioned 2025-03-13 without approval evidence,R-01,12,323,33.2,Medium
ITGC-UA-01,EX-UA-01-009,user_access_log.csv,G202129,E10777,LSP,RITM101479,2025-03-14,2025-03-14,,,No approver recorded on grant,Closed,2025-03-14,Read Only access on LSP provisioned 2025-03-14 without approval evidence,R-01,12,322,33.2,Medium
ITGC-UA-01,EX-UA-01-010,user_access_log.csv,G202169,E10650,GL01,RITM101223,2025-04-04,2025-04-04,,,No approver recorded on grant,Closed,2025-04-04,Standard User access on GL01 provisioned 2025-04-04 without approval evidence,R-01,12,301,31.8,Medium
ITGC-UA-01,EX-UA-01-011,user_access_log.csv,G202174,E10227,LSP,RITM100426,2025-04-08,2025-04-08,,,No approver recorded on grant,Closed,2025-04-08,Power User access on LSP provisioned 2025-04-08 without approval evidence,R-01,12,297,31.5,Medium
ITGC-UA-01,EX-UA-01-012,user_access_log.csv,G202260,E10604,GL01,RITM101135,2025-05-21,2025-05-21,,,No approver recorded on grant,Closed,2025-05-21,Standard User access on GL01 provisioned 2025-05-21 without approval evidence,R-01,12,254,28.7,Medium
ITGC-UA-01,EX-UA-01-013,user_access_log.csv,G202329,E10173,GL01,RITM100318,2025-06-20,2025-06-20,,,No approver recorded on grant,Closed,2025-06-20,Standard User access on GL01 provisioned 2025-06-20 without approval evidence,R-01,12,224,26.7,Medium
ITGC-UA-01,EX-UA-01-014,user_access_log.csv,G202335,E10859,LSP,RITM101637,2025-06-24,2025-06-24,,,No approver recorded on grant,Closed,2025-06-24,Read Only access on LSP provisioned 2025-06-24 without approval evidence,R-01,12,220,26.5,Medium
ITGC-UA-01,EX-UA-01-015,user_access_log.csv,G202345,E10566,FCR,RITM101061,2025-06-27,2025-06-27,,,No approver recorded on grant,Closed,2025-06-27,Read Only access on FCR provisioned 2025-06-27 without approval evidence,R-01,12,217,26.3,Medium
