control_id,source_record_id,system_id,change_type,requested_by,approved_by,approval_date,implementation_date,exception_type
ITGC-CM-01,CHG0030026,LSP,Normal,E10900,,,2025-01-23 18:00,No approver / approval date recorded
ITGC-CM-01,CHG0030061,FCR,Normal,E10153,,,2025-02-12 18:00,No approver / approval date recorded
ITGC-CM-01,CHG0030089,LSP,Normal,E10029,E10347,2025-02-26 16:00,2025-02-25 22:00,Approved after implementation
ITGC-CM-01,CHG0030110,GL01,Standard,E10998,E10489,2025-03-13 13:00,2025-03-07 19:00,Approved after implementation
ITGC-CM-01,CHG0030130,FCR,Normal,E10345,E10751,2025-03-20 15:15,2025-03-17 21:15,Approved after implementation
ITGC-CM-01,CHG0030149,GL01,Normal,E10948,E10259,2025-04-01 16:30,2025-03-27 22:30,Approved after implementation
ITGC-CM-01,CHG0030150,FCR,Standard,E10163,E10751,2025-03-29 13:00,2025-03-28 19:00,Approved after implementation
ITGC-CM-01,CHG0030187,LSP,Emergency,E10077,E10259,2025-04-23 11:00,2025-04-16 19:00,Emergency change approved outside 2-BD window
ITGC-CM-01,CHG0030205,LSP,Normal,E10727,,,2025-04-25 21:45,No approver / approval date recorded
ITGC-CM-01,CHG0030219,GL01,Normal,E10163,E10751,2025-05-10 14:45,2025-05-05 20:45,Approved after implementation
ITGC-CM-01,CHG0030241,FCR,Normal,E10933,E10751,2025-05-16 14:45,2025-05-15 20:45,Approved after implementation
ITGC-CM-01,CHG0030289,LSP,Normal,E10163,E10347,2025-06-18 16:15,2025-06-13 22:15,Approved after implementation
ITGC-CM-01,CHG0030299,LSP,Normal,E10821,E10347,2025-06-23 16:15,2025-06-20 22:15,Approved after implementation
ITGC-CM-01,CHG0030310,FCR,Normal,E10914,,,2025-07-01 20:15,No approver / approval date recorded
ITGC-CM-01,CHG0030345,GL01,Normal,E10285,E10489,2025-07-31 16:30,2025-07-24 22:30,Approved after implementation
ITGC-CM-01,CHG0030358,FCR,Standard,E10856,E10347,2025-08-05 15:30,2025-07-31 21:30,Approved after implementation
ITGC-CM-01,CHG0030361,GL01,Standard,E10666,,,2025-08-01 19:00,No approver / approval date recorded
ITGC-CM-01,CHG0030425,LSP,Normal,E10727,,,2025-09-04 21:45,No approver / approval date recorded
ITGC-CM-01,CHG0030465,LSP,Emergency,E10914,E10259,2025-10-09 11:00,2025-10-01 21:30,Emergency change approved outside 2-BD window
ITGC-CM-01,CHG0030472,LSP,Normal,E10203,E11109,2025-10-16 13:30,2025-10-07 19:30,Approved after implementation
ITGC-CM-01,CHG0030474,LSP,Normal,E10087,,,2025-10-08 19:00,No approver / approval date recorded
ITGC-CM-01,CHG0030482,GL01,Standard,E10192,E11202,2025-10-16 12:30,2025-10-10 18:30,Approved after implementation
ITGC-CM-01,CHG0030501,LSP,Emergency,E10029,E11109,2025-10-30 11:00,2025-10-22 19:45,Emergency change approved outside 2-BD window
ITGC-CM-01,CHG0030505,GL01,Emergency,E10077,E10751,2025-10-30 11:00,2025-10-23 19:15,Emergency change approved outside 2-BD window
ITGC-CM-01,CHG0030513,LSP,Standard,E10642,,,2025-10-27 18:30,No approver / approval date recorded
ITGC-CM-01,CHG0030528,TMS,Emergency,E10269,E10259,2025-11-11 11:00,2025-11-05 19:30,Emergency change approved outside 2-BD window
ITGC-CM-01,CHG0030533,GL01,Normal,E10153,,,2025-11-07 20:15,No approver / approval date recorded
ITGC-CM-01,CHG0030569,LSP,Normal,E10285,E10489,2025-11-29 16:30,2025-11-25 22:30,Approved after implementation
ITGC-CM-01,CHG0030570,LSP,Emergency,E10727,E11109,2025-12-10 11:00,2025-11-26 20:30,Emergency change approved outside 2-BD window
ITGC-CM-01,CHG0030578,LSP,Normal,E10469,E10259,2025-12-08 13:15,2025-12-02 19:15,Approved after implementation
ITGC-CM-01,CHG0030596,FCR,Normal,E10269,E10751,2025-12-21 14:15,2025-12-12 20:15,Approved after implementation
ITGC-CM-01,CHG0030614,FCR,Normal,E10788,,,2025-12-24 20:15,No approver / approval date recorded
