control_id,source_record_id,employee_id,system_id,access_level,request_ticket,date_granted,exception_type
ITGC-UA-01,G201926,E10206,LSP,Power User,RITM100382,2025-01-02,No approver recorded on grant
ITGC-UA-01,G201938,E11157,LSP,Read Only,RITM102190,2025-01-06,No approver recorded on grant
ITGC-UA-01,G201943,E10310,FCR,Power User,RITM100566,2025-01-08,No approver recorded on grant
ITGC-UA-01,G201968,E11035,TMS,Standard User,RITM101974,2025-01-13,No approver recorded on grant
ITGC-UA-01,G202012,E10364,GL01,Read Only,RITM100665,2025-01-30,No approver recorded on grant
ITGC-UA-01,G202025,E11089,LSP,Standard User,RITM102068,2025-02-03,No approver recorded on grant
ITGC-UA-01,G202080,E10592,GL01,Standard User,RITM101109,2025-02-24,No approver recorded on grant
ITGC-UA-01,G202121,E10046,FCR,Standard User,RITM100079,2025-03-13,No approver recorded on grant
ITGC-UA-01,G202129,E10777,LSP,Read Only,RITM101479,2025-03-14,No approver recorded on grant
ITGC-UA-01,G202169,E10650,GL01,Standard User,RITM101223,2025-04-04,No approver recorded on grant
ITGC-UA-01,G202174,E10227,LSP,Power User,RITM100426,2025-04-08,No approver recorded on grant
ITGC-UA-01,G202260,E10604,GL01,Standard User,RITM101135,2025-05-21,No approver recorded on grant
ITGC-UA-01,G202329,E10173,GL01,Standard User,RITM100318,2025-06-20,No approver recorded on grant
ITGC-UA-01,G202335,E10859,LSP,Read Only,RITM101637,2025-06-24,No approver recorded on grant
ITGC-UA-01,G202345,E10566,FCR,Read Only,RITM101061,2025-06-27,No approver recorded on grant
ITGC-UA-01,G202375,E10672,LSP,Read Only,RITM101270,2025-07-14,No approver recorded on grant
ITGC-UA-01,G202384,E10775,LSP,Read Only,RITM101474,2025-07-15,No approver recorded on grant
ITGC-UA-01,G202395,E10931,GL01,Standard User,RITM101790,2025-07-16,No approver recorded on grant
ITGC-UA-01,G202423,E10186,LSP,Power User,RITM100343,2025-07-28,No approver recorded on grant
ITGC-UA-01,G202497,E10900,FCR,Standard User,RITM101724,2025-09-04,No approver recorded on grant
ITGC-UA-01,G202506,E10671,LSP,Read Only,RITM101267,2025-09-11,No approver recorded on grant
ITGC-UA-01,G202511,E10521,FCR,Read Only,RITM100975,2025-09-12,No approver recorded on grant
ITGC-UA-01,G202577,E10556,LSP,Read Only,RITM101042,2025-10-13,No approver recorded on grant
ITGC-UA-01,G202579,E10514,GL01,Standard User,RITM100964,2025-10-14,No approver recorded on grant
ITGC-UA-01,G202583,E10822,FCR,Standard User,RITM101572,2025-10-14,No approver recorded on grant
ITGC-UA-01,G202587,E10631,TMS,Standard User,RITM101184,2025-10-16,No approver recorded on grant
ITGC-UA-01,G202656,E10936,LSP,Read Only,RITM101800,2025-11-18,No approver recorded on grant
ITGC-UA-01,G202670,E11213,GL01,Standard User,RITM102295,2025-11-20,No approver recorded on grant
