control_id,source_record_id,employee_id,system_id,access_level,termination_date,revoke_deadline,access_end_date,bd_elapsed,status
ITGC-UA-02,G201578,E10622,LSP,Power User,2025-01-14,2025-01-22,,262,Open
ITGC-UA-02,G200644,E10674,LSP,Power User,2025-02-06,2025-02-13,2025-02-14,6,Closed
ITGC-UA-02,G200612,E10271,TMS,Standard User,2025-03-05,2025-03-12,2025-03-21,12,Closed
ITGC-UA-02,G200515,E10856,GL01,Standard User,2025-03-05,2025-03-12,2025-04-02,20,Closed
ITGC-UA-02,G201120,E11237,LSP,Power User,2025-03-19,2025-03-26,2025-04-17,21,Closed
ITGC-UA-02,G201351,E11235,LSP,Standard User,2025-08-04,2025-08-11,2025-08-27,17,Closed
ITGC-UA-02,G201283,E10899,GL01,Power User,2025-08-28,2025-09-05,,106,Open
ITGC-UA-02,G201285,E10899,TMS,Standard User,2025-08-28,2025-09-05,,106,Open
ITGC-UA-02,G201286,E10899,FCR,Standard User,2025-08-28,2025-09-05,,106,Open
ITGC-UA-02,G201470,E10899,TMS,Superuser,2025-08-28,2025-09-05,,106,Open
ITGC-UA-02,G202305,E10899,FCR,Administrator,2025-08-28,2025-09-05,,106,Open
ITGC-UA-02,G202322,E10899,GL01,Superuser,2025-08-28,2025-09-05,,106,Open
ITGC-UA-02,G200092,E10079,GL01,Read Only,2025-08-29,2025-09-08,2025-09-29,20,Closed
ITGC-UA-02,G201786,E10846,LSP,Standard User,2025-10-09,2025-10-16,,77,Open
ITGC-UA-02,G202447,E10846,LSP,Read Only,2025-10-09,2025-10-16,,77,Open
ITGC-UA-02,G200768,E11203,LSP,Standard User,2025-10-10,2025-10-17,2025-10-27,11,Closed
ITGC-UA-02,G200622,E10767,LSP,Read Only,2025-10-29,2025-11-05,2025-11-10,8,Closed
ITGC-UA-02,G200387,E10987,LSP,Standard User,2025-11-06,2025-11-13,,57,Open
ITGC-UA-02,G201198,E10406,FCR,Standard User,2025-12-02,2025-12-09,2025-12-24,16,Closed
ITGC-UA-02,G201391,E10258,FCR,Standard User,2025-12-09,2025-12-16,,35,Open
