control_id,source_record_id,employee_id,termination_type,termination_date,notify_deadline,hr_notified_date
ITGC-UA-03,E10622,E10622,Voluntary,2025-01-14,2025-01-15,2025-01-23
ITGC-UA-03,E10260,E10260,Voluntary,2025-02-04,2025-02-05,2025-02-13
ITGC-UA-03,E10674,E10674,Voluntary,2025-02-06,2025-02-07,2025-02-18
ITGC-UA-03,E11237,E11237,Voluntary,2025-03-19,2025-03-20,2025-03-31
ITGC-UA-03,E10174,E10174,Involuntary,2025-04-14,2025-04-15,2025-04-24
ITGC-UA-03,E10224,E10224,Voluntary,2025-07-25,2025-07-28,2025-07-31
ITGC-UA-03,E10592,E10592,Voluntary,2025-07-29,2025-07-30,2025-08-06
ITGC-UA-03,E10079,E10079,Voluntary,2025-08-29,2025-09-02,2025-09-04
ITGC-UA-03,E11203,E11203,Voluntary,2025-10-10,2025-10-13,2025-10-15
ITGC-UA-03,E10684,E10684,Voluntary,2025-10-17,2025-10-20,2025-10-30
ITGC-UA-03,E10987,E10987,Involuntary,2025-11-06,2025-11-07,2025-11-12
